time,cell_id,x,y,radius
0.0000,0,-25.000000,0.000000,5.0
0.0000,1,-20.000000,0.000000,5.0
0.0000,2,-15.000000,0.000000,5.0
0.0000,3,-10.000000,0.000000,5.0
0.0000,4,-5.000000,0.000000,5.0
0.0000,5,0.000000,0.000000,5.0
0.0000,6,5.000000,0.000000,5.0
0.0000,7,10.000000,0.000000,5.0
0.0000,8,15.000000,0.000000,5.0
0.0000,9,20.000000,0.000000,5.0
0.0000,10,25.000000,0.000000,5.0
0.1000,0,-25.332058,0.000000,5.0
0.1000,1,-20.014133,0.000000,5.0
0.1000,2,-15.000375,0.000000,5.0
0.1000,3,-10.000007,0.000000,5.0
0.1000,4,-5.000000,0.000000,5.0
0.1000,5,0.000000,0.000000,5.0
0.1000,6,5.000000,0.000000,5.0
0.1000,7,10.000007,0.000000,5.0
0.1000,8,15.000375,0.000000,5.0
0.1000,9,20.014133,0.000000,5.0
0.1000,10,25.332058,0.000000,5.0
0.2000,0,-25.636424,0.000000,5.0
0.2000,1,-20.053473,0.000000,5.0
0.2000,2,-15.003114,0.000000,5.0
0.2000,3,-10.000131,0.000000,5.0
0.2000,4,-5.000004,0.000000,5.0
0.2000,5,0.000000,0.000000,5.0
0.2000,6,5.000004,0.000000,5.0
0.2000,7,10.000131,0.000000,5.0
0.2000,8,15.003114,0.000000,5.0
0.2000,9,20.053473,0.000000,5.0
0.2000,10,25.636424,0.000000,5.0
0.3000,0,-25.918649,0.000000,5.0
0.3000,1,-20.110652,0.000000,5.0
0.3000,2,-15.009742,0.000000,5.0
0.3000,3,-10.000643,0.000000,5.0
0.3000,4,-5.000033,0.000000,5.0
0.3000,5,0.000000,0.000000,5.0
0.3000,6,5.000033,0.000000,5.0
0.3000,7,10.000643,0.000000,5.0
0.3000,8,15.009742,0.000000,5.0
0.3000,9,20.110652,0.000000,5.0
0.3000,10,25.918649,0.000000,5.0
0.4000,0,-26.182694,0.000000,5.0
0.4000,1,-20.180656,0.000000,5.0
0.4000,2,-15.020942,0.000000,5.0
0.4000,3,-10.001863,0.000000,5.0
0.4000,4,-5.000131,0.000000,5.0
0.4000,5,0.000000,0.000000,5.0
0.4000,6,5.000131,0.000000,5.0
0.4000,7,10.001863,0.000000,5.0
0.4000,8,15.020942,0.000000,5.0
0.4000,9,20.180656,0.000000,5.0
0.4000,10,26.182694,0.000000,5.0
0.5000,0,-26.431491,0.000000,5.0
0.5000,1,-20.259983,0.000000,5.0
0.5000,2,-15.036902,0.000000,5.0
0.5000,3,-10.004098,0.000000,5.0
0.5000,4,-5.000364,0.000000,5.0
0.5000,5,0.000000,0.000000,5.0
0.5000,6,5.000364,0.000000,5.0
0.5000,7,10.004098,0.000000,5.0
0.5000,8,15.036902,0.000000,5.0
0.5000,9,20.259983,0.000000,5.0
0.5000,10,26.431491,0.000000,5.0
0.6000,0,-26.667280,0.000000,5.0
0.6000,1,-20.346141,0.000000,5.0
0.6000,2,-15.057521,0.000000,5.0
0.6000,3,-10.007604,0.000000,5.0
0.6000,4,-5.000811,0.000000,5.0
0.6000,5,0.000000,0.000000,5.0
0.6000,6,5.000811,0.000000,5.0
0.6000,7,10.007604,0.000000,5.0
0.6000,8,15.057521,0.000000,5.0
0.6000,9,20.346141,0.000000,5.0
0.6000,10,26.667280,0.000000,5.0
0.7000,0,-26.891812,0.000000,5.0
0.7000,1,-20.437319,0.000000,5.0
0.7000,2,-15.082546,0.000000,5.0
0.7000,3,-10.012582,0.000000,5.0
0.7000,4,-5.001558,0.000000,5.0
0.7000,5,0.000000,0.000000,5.0
0.7000,6,5.001558,0.000000,5.0
0.7000,7,10.012582,0.000000,5.0
0.7000,8,15.082546,0.000000,5.0
0.7000,9,20.437319,0.000000,5.0
0.7000,10,26.891812,0.000000,5.0
0.8000,0,-27.106486,0.000000,5.0
0.8000,1,-20.532186,0.000000,5.0
0.8000,2,-15.111652,0.000000,5.0
0.8000,3,-10.019174,0.000000,5.0
0.8000,4,-5.002691,0.000000,5.0
0.8000,5,0.000000,0.000000,5.0
0.8000,6,5.002691,0.000000,5.0
0.8000,7,10.019174,0.000000,5.0
0.8000,8,15.111652,0.000000,5.0
0.8000,9,20.532186,0.000000,5.0
0.8000,10,27.106486,0.000000,5.0
0.9000,0,-27.312438,0.000000,5.0
0.9000,1,-20.629742,0.000000,5.0
0.9000,2,-15.144485,0.000000,5.0
0.9000,3,-10.027469,0.000000,5.0
0.9000,4,-5.004290,0.000000,5.0
0.9000,5,0.000000,0.000000,5.0
0.9000,6,5.004290,0.000000,5.0
0.9000,7,10.027469,0.000000,5.0
0.9000,8,15.144485,0.000000,5.0
0.9000,9,20.629742,0.000000,5.0
0.9000,10,27.312438,0.000000,5.0
1.0000,0,-27.510608,0.000000,5.0
1.0000,1,-20.729235,0.000000,5.0
1.0000,2,-15.180693,0.000000,5.0
1.0000,3,-10.037516,0.000000,5.0
1.0000,4,-5.006427,0.000000,5.0
1.0000,5,0.000000,0.000000,5.0
1.0000,6,5.006427,0.000000,5.0
1.0000,7,10.037516,0.000000,5.0
1.0000,8,15.180693,0.000000,5.0
1.0000,9,20.729235,0.000000,5.0
1.0000,10,27.510608,0.000000,5.0
1.1000,0,-27.701780,0.000000,5.0
1.1000,1,-20.830086,0.000000,5.0
1.1000,2,-15.219938,0.000000,5.0
1.1000,3,-10.049326,0.000000,5.0
1.1000,4,-5.009162,0.000000,5.0
1.1000,5,0.000000,0.000000,5.0
1.1000,6,5.009162,0.000000,5.0
1.1000,7,10.049326,0.000000,5.0
1.1000,8,15.219938,0.000000,5.0
1.1000,9,20.830086,0.000000,5.0
1.1000,10,27.701780,0.000000,5.0
1.2000,0,-27.886617,0.000000,5.0
1.2000,1,-20.931849,0.000000,5.0
1.2000,2,-15.261907,0.000000,5.0
1.2000,3,-10.062885,0.000000,5.0
1.2000,4,-5.012546,0.000000,5.0
1.2000,5,0.000000,0.000000,5.0
1.2000,6,5.012546,0.000000,5.0
1.2000,7,10.062885,0.000000,5.0
1.2000,8,15.261907,0.000000,5.0
1.2000,9,20.931849,0.000000,5.0
1.2000,10,27.886617,0.000000,5.0
1.3000,0,-28.065687,0.000000,5.0
