index,t
0,0.000000
1,0.067950
2,0.135900
3,0.203851
4,0.271801
5,0.339751
6,0.407701
7,0.475651
8,0.543601
9,0.611552
10,0.679502
11,0.747452
12,0.815402
13,0.883352
14,0.951302
15,1.019253
16,1.087203
17,1.155153
18,1.223103
19,1.291053
20,1.359003
21,1.426954
22,1.494904
23,1.562854
24,1.630804
25,1.698754
26,1.766704
27,1.834655
28,1.902605
29,1.970555
30,2.038505
31,2.106455
32,2.174405
33,2.242356
34,2.310306
35,2.378256
36,2.446206
37,2.514156
38,2.582106
39,2.650057
40,2.718007
41,2.785957
42,2.853907
43,2.921857
44,2.989807
45,3.057758
46,3.125708
47,3.193658
48,3.261608
49,3.329558
50,3.397508
51,3.465459
52,3.533409
53,3.601359
54,3.669309
55,3.737259
56,3.805210
57,3.873160
58,3.941110
59,4.009060
60,4.077010
61,4.144960
62,4.212911
63,4.280861
64,4.348811
65,4.416761
66,4.484711
67,4.552661
68,4.620612
69,4.688562
70,4.756512
71,4.824462
72,4.892412
73,4.960362
74,5.028313
75,5.096263
76,5.164213
77,5.232163
78,5.300113
79,5.368063
80,5.436014
81,5.503964
82,5.571914
83,5.639864
84,5.707814
85,5.775764
86,5.843715
87,5.911665
88,5.979615
89,6.047565
90,6.115515
91,6.183465
92,6.251416
93,6.319366
94,6.387316
95,6.455266
96,6.523216
97,6.591166
98,6.659117
99,6.727067
100,6.795017
101,6.862967
102,6.930917
103,6.998867
104,7.066818
105,7.134768
106,7.202718
107,7.270668
108,7.338618
109,7.406569
110,7.474519
111,7.542469
112,7.610419
113,7.678369
114,7.746319
115,7.814270
116,7.882220
117,7.950170
118,8.018120
119,8.086070
120,8.154020
121,8.221971
122,8.289921
123,8.357871
124,8.425821
125,8.493771
126,8.561721
127,8.629672
128,8.697622
129,8.765572
130,8.833522
131,8.901472
132,8.969422
133,9.037373
134,9.105323
135,9.173273
136,9.241223
137,9.309173
138,9.377123
139,9.445074
140,9.513024
141,9.580974
142,9.648924
143,9.716874
144,9.784824
145,9.852775
146,9.920725
147,9.988675
148,10.043035
